id,reportingPeriod,state,legalAgencyName,projectType,projectStartDate,projectEndDate,nameOfProgram,fundingAmount
536f0c8d-a04d-4c50-a262-54083aa13586,2014,Alaska,Fairbanks North Star Borough,establishenhanceemergencyplansandprocedurestoreflecttheNationalResponsePlan,2014-07-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,142000.00
5c62b1c3-2fc3-486f-aa98-da148440f6ff,2014,Alaska,Kenai Peninsula Borough,establishenhanceemergencyplansandprocedurestoreflecttheNationalResponsePlan,2014-07-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,142000.00
6d7b1e50-5f3f-474d-9659-edb59a839c12,2014,Alaska,Matanuska-Susitna Borough,establishenhanceemergencyplansandprocedurestoreflecttheNationalResponsePlan,2014-07-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,72000.00
eace7282-d80d-4e19-8dcf-99569f2f75d8,2014,Alaska,Municipality of Anchorage,establishenhanceemergencyplansandprocedurestoreflecttheNationalResponsePlan,2014-07-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,125000.00
dc03300d-2c39-4f5b-a7e9-46c69a138830,2014,AmericanSamoa,AmericanSamoa Department of Homeland Security,establishenhancecitizenawarenessofemergencypreparednesspreventionandresponsemeasures,2014-10-01T00:00:00.000Z,2015-12-01T00:00:00.000Z,EMPG,910896.00
2b95cdab-bb64-4982-aa82-356800e93455,2014,Arizona,Arizona Division of Emergency Management/EMPG,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2016-09-01T00:00:00.000Z,EMPG,6956206.87
3a8871ac-f4b2-43c0-bb61-be30a4e98388,2014,Arizona,DEOBLIGATED ADEM EMPG funds,establishenhancesustainableHomelandSecurityPlanningProgram,2014-10-01T00:00:00.000Z,2016-09-01T00:00:00.000Z,EMPG,15954.13
99ca6330-37e2-4a88-b104-5d8172dfe75c,2014,Arkansas,Arkansas County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,21373.18
dc3d9140-0f9d-40e0-85fd-4ee105c1463a,2014,Arkansas,Arkansas Division of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,2792604.38
3b4a658c-9bfa-4db1-8cfa-152f52a1e5e5,2014,Arkansas,Ashley County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,22172.03
da3d9b59-2ff0-4975-8d09-f8111581c22c,2014,Arkansas,Baxter County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,26885.79
5346ac0b-aaac-4adc-8025-994004867335,2014,Arkansas,Benton County Office of Emergency Management,establishenhanceemergencyoperationscenter,2015-01-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,78403.78
47c2af59-375f-46bf-a258-4c5089a3983f,2014,Arkansas,Boone County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,25367.08
4bef575b-5743-4d73-8696-fd3d3b4529d1,2014,Arkansas,Bradley County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,16627.98
0df34d76-f111-49bf-be87-2e5547a3c481,2014,Arkansas,Calhoun County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,17525.36
783b2769-16bf-46ba-b491-d9f79598fffc,2014,Arkansas,Carroll County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,16113.30
ecf5fbe5-ef6f-420e-a8ed-4d872af04f12,2014,Arkansas,Chicot County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,16299.40
9d837e90-fe81-4707-9c69-73728c7f179a,2014,Arkansas,Clark County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,22493.95
1fc4e01e-a30b-4625-857e-bedbea4c2b20,2014,Arkansas,Clay County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,8686.34
b4204b43-7c42-4793-bccb-fd796311a652,2014,Arkansas,Cleburne County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,23332.56
4ca01e1d-4e72-4c51-af97-516d4dd12841,2014,Arkansas,Cleveland County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,18461.32
8c153f91-a78c-45ba-ba1a-bac1ece121ea,2014,Arkansas,Columbia County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,20102.67
64c361cf-c690-4d86-8970-60dd712edb1c,2014,Arkansas,Conway County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,22008.54
fe6aa034-0904-4a58-9774-898f89548c0f,2014,Arkansas,Craighead County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,43197.76
1b3cc76d-3266-4c80-81d0-87f13c87c148,2014,Arkansas,Crawford County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,33474.16
405b4e6b-48b1-4f2c-9fa9-b58e553057b7,2014,Arkansas,Crittenden County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,15082.53
7dee6ca9-8ddf-403e-a40c-d78816f8f2e2,2014,Arkansas,Cross County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,12009.30
08b6a843-a9ce-472d-8296-a541b584db20,2014,Arkansas,Dallas County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,18299.80
3c92188e-88e1-4253-b324-8d57ef1526ad,2014,Arkansas,Desha County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,6738.38
8dc4b379-7ce4-4bb2-99a0-50d9e8673f08,2014,Arkansas,Drew County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,12595.23
cee2529c-38ed-4016-8d89-6c98bc8e2f18,2014,Arkansas,Faulkner County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,47931.72
e3ac99ed-068e-48c9-9b35-aa79c5f8de53,2014,Arkansas,Franklin County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,21121.18
ec411174-ad1f-405d-a811-1bf30e32d3e8,2014,Arkansas,Fulton County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,4843.74
1a2c4441-30f2-4be2-881f-108de47c7172,2014,Arkansas,Garland County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,43079.66
0c60fe3a-8d86-41dd-bde9-f0c9c3ec89be,2014,Arkansas,Grant County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,21044.50
7fd961b6-6ffd-49e4-887d-c20fcd11bb3e,2014,Arkansas,Greene County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,27876.51
89e1b8a5-6b62-4961-adc9-59e3f7393ade,2014,Arkansas,Howard County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,11894.98
dd92e230-21ac-405f-a4ca-d03bb86af0a2,2014,Arkansas,Independence County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,24427.12
a73b5a47-da68-4979-b054-d4a0ca7eb9a5,2014,Arkansas,Izard County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,19872.71
cf543ad5-1658-4ef1-9054-44510c296bf9,2014,Arkansas,Jackson County of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,21085.09
907ba333-8b72-4a22-97de-90525f832da1,2014,Arkansas,Jefferson County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,37839.71
ea737560-662c-4527-86f8-c87ccce7b086,2014,Arkansas,Johnson County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,18278.31
ecc65756-641f-4496-a5f3-16101f5cbf55,2014,Arkansas,Lafayette County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,18167.02
6aaeea05-3511-4b52-92dc-dd3e72ee2972,2014,Arkansas,Lawrence County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,12174.95
132f5694-89cb-48f7-9ec1-4a6079868ce8,2014,Arkansas,Lee County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,8685.85
11485cf6-778e-4f9e-92ed-7fe754e44a86,2014,Arkansas,Lincoln County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,19996.18
21d3028e-075f-48a5-8394-704ed0e7fe82,2014,Arkansas,Little River County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,18732.84
5fae1831-f8a3-4b43-8bdb-4cff1b7f76a2,2014,Arkansas,Little Rock Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,52229.26
a622c98d-d556-4c64-a45d-6288a8b2fea0,2014,Arkansas,Logan County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,18425.91
0b506abf-2d82-4720-9640-7db6253e0849,2014,Arkansas,Lonoke County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,32492.81
63f38c71-e4df-42ab-bcdd-0cb9407b763b,2014,Arkansas,Madison County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,18648.85
55a0bbcd-bd04-4d75-a8be-6b27192c3a03,2014,Arkansas,Marion County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,20706.24
b90f1aac-a1d4-4262-b056-43013928bdae,2014,Arkansas,Miller County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,26101.90
200cd515-cc44-43c5-8433-4b8baeaca227,2014,Arkansas,Mississippi County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,26886.33
bded889a-a6b0-4d24-a8a7-a62ad0fa3df0,2014,Arkansas,Monroe County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,18309.10
411ac5f1-b831-4e88-a910-8ecd23882687,2014,Arkansas,Montgomery County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,18686.26
429cb7f0-6855-43b1-b004-16d086154a57,2014,Arkansas,Nevada County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,6636.25
194944f2-387a-4778-821f-5708d7adb9ae,2014,Arkansas,Newton County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,18360.13
2eba0798-3ce6-4d8f-9bc7-46eeb034ef01,2014,Arkansas,North Little Rock Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,33574.53
fb3750ea-e351-40d2-a175-c4c8d9d29741,2014,Arkansas,Ouachita County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,23374.84
84961d8f-fb13-478a-bf06-6a7ac661d154,2014,Arkansas,Perry County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,17261.91
fce6cf54-42fb-4e45-ab5b-044bb7457a3e,2014,Arkansas,Phillips County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,17029.28
552dece1-58cf-474c-9e70-50b85b07c8b1,2014,Arkansas,Pike County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,19194.78
610f41fb-6b43-47f3-8a38-149a6b01d31f,2014,Arkansas,Poinsett County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,15463.43
3ba58600-709b-4d4e-8bf9-931fd9cec273,2014,Arkansas,Polk County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,21836.31
248dcc3f-753a-4d15-b2f9-c16fb8f0cbc1,2014,Arkansas,Pope County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,27189.20
b7a09113-fa39-435b-a32d-6d45b5362d9d,2014,Arkansas,Prairie County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,18468.65
05f6a6d1-5bd1-4418-ae28-b8616138f3e0,2014,Arkansas,Pulaski County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,51788.74
16fd8cfa-eb1e-46ef-b653-de6e376725e2,2014,Arkansas,Randolph County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,4877.37
041843f0-d29a-4e3b-af2c-2473c652605d,2014,Arkansas,Saline County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,46206.86
18c25857-5598-4933-a774-c310ddc83d8d,2014,Arkansas,Scott County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,3879.47
7c104932-6d88-4be3-9820-08038ffb2c98,2014,Arkansas,Searcy County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,17452.54
d26c153f-5a66-4271-9622-2fd5dc4a127f,2014,Arkansas,Sebastian County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,51457.24
f8ebdd4c-c2dc-4218-9c87-8327bca89a54,2014,Arkansas,Sevier County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,20820.41
45e07ed7-81af-4e5c-85ce-4719f56f87f1,2014,Arkansas,Sharp County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,18217.47
b6a0ae56-1d53-4b20-9617-b43f8e62799f,2014,Arkansas,St. Francis County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,18049.72
082377ab-7886-4ed3-bf65-36b5146ff8d8,2014,Arkansas,Stone County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,19505.69
92d39267-5f53-47cb-b987-df55d68ab070,2014,Arkansas,Union County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,27749.38
19dc5962-5bc8-4e97-95ef-084f07b20763,2014,Arkansas,Van Buren County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,20887.20
3ba55fb4-163f-4458-8cf1-ab8194c9ae52,2014,Arkansas,Washington County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,73252.79
5e6ccd11-379a-427a-b394-447fe00ac332,2014,Arkansas,White County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,37738.51
05faf946-cbe4-40f3-a2b8-0a226577c3a4,2014,Arkansas,Woodruff County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,12381.41
9db7226d-7d94-4747-93c9-afaab379354e,2014,Arkansas,Yell County Office of Emergency Management,establishenhanceemergencyoperationscenter,2014-10-01T00:00:00.000Z,2015-09-01T00:00:00.000Z,EMPG,22265.62
8fba2fd3-2d78-4206-85a2-641f8ace6b15,2014,California,EM- Tule River Tribe,developenhanceinteroperablecommunicationssystems,2014-12-01T00:00:00.000Z,2015-03-01T00:00:00.000Z,EMPG,16345.00
2cc99fd2-716b-46c8-8ce0-181fe3a138f9,2014,California,EM-Agua Caliente Band of Cahuilla Indians,establishenhancesustainablehomelandsecurityexerciseprogram,2014-09-01T00:00:00.000Z,2015-08-01T00:00:00.000Z,EMPG,17500.00
d00869d0-615e-4566-a321-0271e7ab041b,2014,California,OA-Alameda County,establishenhancecitizenawarenessofemergencypreparednesspreventionandresponsemeasures,2014-10-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,452545.00
189253aa-a438-44e7-995a-b9d6a3817e31,2014,California,OA-Alpine County,AdministerandmanagetheHomelandSecurityGrantProgram,2014-07-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,23496.00
eb1931dc-6a3f-4fff-8a1c-838e4263ca37,2014,California,OA-Alpine County,developenhancehomelandsecurityemergencymanagementorganizationandstructure,2014-07-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,21403.00
8d49530a-fc09-438e-9d98-ecc325ba81d2,2014,California,OA-Alpine County,developenhanceinteroperablecommunicationssystems,2015-04-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,21873.00
885f8321-c61a-4c8c-b57f-1070889f1e0f,2014,California,OA-Alpine County,developenhanceinteroperablecommunicationssystems,2014-07-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,37652.00
ce60e172-69dd-4ebb-9b8e-5f7d927042ba,2014,California,OA-Amador County,developenhanceplansproceduresandprotocols,2014-07-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,97376.00
3a29f87d-1cba-47aa-bbcc-80c683332ebe,2014,California,OA-Butte County,developenhancehomelandsecurityemergencymanagementorganizationandstructure,2014-09-01T00:00:00.000Z,2015-05-01T00:00:00.000Z,EMPG,918.00
b47fcf55-232a-4963-aed6-e4e111193576,2014,California,OA-Butte County,developenhancehomelandsecurityemergencymanagementorganizationandstructure,2014-09-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,97997.00
f568c42e-7fba-445f-8b80-c0d34196b745,2014,California,OA-Butte County,developenhanceinteroperablecommunicationssystems,2015-03-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,1683.00
da848d82-c039-48b4-b95c-cdcb5f355b16,2014,California,OA-Calaveras County,developenhanceinteroperablecommunicationssystems,2015-01-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,36000.00
bb0b2f7f-6d50-4e2d-b269-d6eab495e02d,2014,California,OA-Calaveras County,developenhanceinteroperablecommunicationssystems,2014-09-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,98503.00
76945f60-2201-4501-ae56-623c59bbda5d,2014,California,OA-Colusa County,developenhanceplansproceduresandprotocols,2014-07-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,55600.00
4d2bb98a-8f43-4972-9e95-1627aef83784,2014,California,OA-Contra Costa County,developenhancehomelandsecurityemergencymanagementorganizationandstructure,2014-07-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,145176.00
8fad3396-d496-4e7c-8a06-11d618efd147,2014,California,OA-Contra Costa County,developenhanceplansproceduresandprotocols,2014-07-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,207123.00
c4d1c54a-7d38-4e54-be6d-fbe2225eb0ee,2014,California,OA-Del Norte County,AdministerandmanagetheHomelandSecurityGrantProgram,2015-07-01T00:00:00.000Z,2016-06-01T00:00:00.000Z,EMPG,56458.00
c7ec329a-b789-4a82-b17b-7c694ebbaac9,2014,California,OA-Del Norte County,developenhanceinteroperablecommunicationssystems,2014-07-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,11263.00
7930ea2d-cf94-4d0a-a52d-102e227405cc,2014,California,OA-Del Norte County,Enhancecapabilitiestorecoverfromallhazardsevents,2014-07-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,41288.00
5982ad9b-1934-47a3-91b7-a3c42954f22c,2014,California,OA-Del Norte County,Enhancecapabilitiestorespondtoallhazardsevents,2014-07-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,15369.00
0687c6a2-0509-46b4-b235-ef1e9f14c900,2014,California,OA-El Dorado County,Enhancecapabilitiestorecoverfromallhazardsevents,2014-07-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,163553.00
b142b98d-d597-495e-9e6c-5aa8b4b1e0fe,2014,California,OA-Fresno County,developenhancehomelandsecurityemergencymanagementorganizationandstructure,2014-07-01T00:00:00.000Z,2015-07-01T00:00:00.000Z,EMPG,326383.00
cf620878-4762-4b65-adaa-98c477378ca8,2014,California,OA-Glenn County,developenhancehomelandsecurityemergencymanagementorganizationandstructure,2014-09-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,28054.00
329f1076-0628-452d-9418-fb9cdca9a52c,2014,California,OA-Humboldt County,developenhancehomelandsecurityemergencymanagementorganizationandstructure,2014-07-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,153597.00
ee5cd9ae-e3c9-484b-ac2a-1ae10b6db30f,2014,California,OA-Imperial County,developenhanceplansproceduresandprotocols,2014-12-01T00:00:00.000Z,2016-05-01T00:00:00.000Z,EMPG,163083.00
9df2ecae-7a4a-460f-add1-ca5b9d4efcd3,2014,California,OA-Kern County,developenhancehomelandsecurityemergencymanagementorganizationandstructure,2014-07-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,8743.00
2185b66a-7480-4695-85f9-268fffc68a87,2014,California,OA-Kern County,developenhanceplansproceduresandprotocols,2014-07-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,180873.00
e044e10f-e638-4dc8-a8be-f11a2dead7a7,2014,California,OA-Kern County,Enhancecapabilitiestorespondtoallhazardsevents,2014-07-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,106744.00
02ad18b7-d89a-496c-b225-d0efcf1d54fc,2014,California,OA-Kern County,establishenhanceemergencyplansandprocedurestoreflecttheNationalResponsePlan,2014-07-01T00:00:00.000Z,2015-06-01T00:00:00.000Z,EMPG,10000.00
